"text", "translation"
"基礎能力は十分育っているようなので\nスキルを獲得しましょう。","基础能力培养的似乎已经足够充分了\n让我们来学习一些技能吧。"
"基礎能力に比べてスキルが物足りない\nので獲得してはどうでしょうか。","基础能力已经很强了\n但技能还差一些。 来学习一下吧。"
"そろそろスキル獲得を視野に入れても\n良さそうです。","是时候该考虑学习技能了。"
"スピードが不足しているようなので\n重点的に鍛えてみましょう。","速度跟不上基础能力了呢\n多多训练一下吧。"
"スピードを伸ばすと基礎能力の\nバランスが良くなりそうです。","提升速度的话\n能力好像更加平衡了呢。"
"スタミナが不足しているようなので\n重点的に鍛えてみましょう。","耐力跟不上基础能力了呢\n多多训练一下吧。"
"スタミナを伸ばすと基礎能力の\nバランスが良くなりそうです。","提升耐力的话\n能力好像更加平衡了呢。"
"パワーが不足しているようなので\n重点的に鍛えてみましょう。","力量跟不上基础能力了呢\n多多训练一下吧。"
"パワーを伸ばすと基礎能力の\nバランスが良くなりそうです。","提升力量的话\n能力好像更加平衡了呢。"
"根性が不足しているようなので\n重点的に鍛えてみましょう。","毅力跟不上基础能力了呢\n多多训练一下吧。"
"根性を伸ばすと基礎能力の\nバランスが良くなりそうです。","提升毅力的话\n能力好像更加平衡了呢。"
"賢さが不足しているようなので\n重点的に鍛えてみましょう。","脑力跟不上基础能力了呢\n多多训练一下吧。"
"賢さを伸ばすと基礎能力の\nバランスが良くなりそうです。","提升脑力的话\n能力好像更加平衡了呢。"
"バランスよくしっかりと\nトレーニングしていきましょう！","保持能力平衡，继续训练吧！"
"ファン不足で目標のレースに出走\nできません。レースに出走しましょう。","粉丝不足无法参加想要参加的比赛呢\n为了目标继续比赛吧！"
"このままでは目標のファン数に到達\nできません。レースに出走しましょう。","这样下去达不到粉丝数量的要求哦\n去参加一些比赛吧！"
"目標としてきたレース当日ですね。\nあとはレースの結果を見守りましょう。","一直为之奋斗的比赛就在今天！\n之后就期待比赛的结果吧。"
"トレーニングに差し支えのある状態に\nなっているので保健室に行きましょう。","身体状态不太适合训练了\n先去一趟保健室吧。"
"体力が低下しているのでケガの恐れが\nあります。お休みも大切ですよ。","再训练下去可能会受伤哦\n出去放松一下吧。"
"体力が低いのでケガの恐れがあります。\nお出かけしてリフレッシュしましょう。","体力过低可能会导致受伤哦。\n 出去恢复一下吧。"
"レース直前なのに調子がイマイチです。\nお出かけして気分転換も大切ですよ。","比赛之前状态不够完美吗\n出去恢复一下心情也同样重要呢！"
"デビューまでの調整期間です。\nトレーニングをしっかりやりましょう。","到下次出场前都是休息时间！\n继续努力训练吧"
"未勝利のままでは9月以降育成を続行\nできません。レースで勝利しましょう。","九月之前必须再赢下一局哦\n努力赢得比赛吧！"
"未勝利のため目標のレースに出走\nできません。レースに出走しましょう。","想要参加目标的比赛还需要再多赢一些呢\n参加更多的比赛去吧！"
"このままでは目標を達成できません。\nレースに出走しましょう。","这样下去很难达到你的目标呢\n参加更多的比赛吧。"
