"text", "translation"
"育成でレースに勝利しよう","在育成中赢得 1 场比赛胜利"
"デイリーレースに出走しよう","完成 1 场日常比赛"
"チーム競技場をプレイしよう","在竞技场中完成 1 场比赛"
"育成を1回完了しよう","完成 1 次育成"
"デイリーミッションを\n全てクリアしよう","完成全部日常任务"
"デイリーレースに3回出走しよう","完成 3 场日常比赛"
"育成を2回完了しよう","完成 2 次育成"
"育成を3回完了しよう","完成 3 次育成"
"育成を4回完了しよう","完成 4 次育成"
"育成を5回完了しよう","完成 5 次育成"
"育成を10回完了しよう","完成 10 次育成"
"育成を15回完了しよう","完成 15 次育成"
"育成を20回完了しよう","完成 20 次育成"
"育成を25回完了しよう","完成 25 次育成"
"育成を30回完了しよう","完成 30 次育成"
"育成を35回完了しよう","完成 35 次育成"
"育成を40回完了しよう","完成 40 次育成"
"育成を45回完了しよう","完成 45 次育成"
"育成を50回完了しよう","完成 50 次育成"
"育成を60回完了しよう","完成 60 次育成"
"育成を70回完了しよう","完成 70 次育成"
"育成を80回完了しよう","完成 80 次育成"
"育成を90回完了しよう","完成 90 次育成"
"育成を100回完了しよう","完成 100 次育成"
"育成を150回完了しよう","完成 150 次育成"
"育成を200回完了しよう","完成 200 次育成"
"育成を250回完了しよう","完成 250 次育成"
"育成を300回完了しよう","完成 300 次育成"
"育成を350回完了しよう","完成 350 次育成"
"育成を400回完了しよう","完成 400 次育成"
"育成を450回完了しよう","完成 450 次育成"
"育成を500回完了しよう","完成 500 次育成"
"育成を550回完了しよう","完成 550 次育成"
"育成を600回完了しよう","完成 600 次育成"
"育成を650回完了しよう","完成 650 次育成"
"育成を700回完了しよう","完成 700 次育成"
"育成を750回完了しよう","完成 750 次育成"
"育成を800回完了しよう","完成 800 次育成"
"育成を850回完了しよう","完成 850 次育成"
"育成を900回完了しよう","完成 900 次育成"
"育成を950回完了しよう","完成 950 次育成"
"育成を1000回完了しよう","完成 1000 次育成"
"育成を1050回完了しよう","完成 1050 次育成"
"育成を1100回完了しよう","完成 1100 次育成"
"育成を1150回完了しよう","完成 1150 次育成"
"育成を1200回完了しよう","完成 1200 次育成"
"育成を1250回完了しよう","完成 1250 次育成"
"育成を1300回完了しよう","完成 1300 次育成"
"育成を1350回完了しよう","完成 1350 次育成"
"育成を1400回完了しよう","完成 1400 次育成"
"育成を1450回完了しよう","完成 1450 次育成"
"育成を1500回完了しよう","完成 1500 次育成"
"育成を1550回完了しよう","完成 1550 次育成"
"育成を1600回完了しよう","完成 1600 次育成"
"育成を1650回完了しよう","完成 1650 次育成"
"育成を1700回完了しよう","完成 1700 次育成"
"育成を1750回完了しよう","完成 1750 次育成"
"育成を1800回完了しよう","完成 1800 次育成"
"育成を1850回完了しよう","完成 1850 次育成"
"育成を1900回完了しよう","完成 1900 次育成"
"育成を1950回完了しよう","完成 1950 次育成"
"育成を2000回完了しよう","完成 2000 次育成"
"育成でGⅠレースに\n1回勝利しよう","在育成中获得 1 次 GI 比赛胜利"
"育成でGⅠレースに\n5回勝利しよう","在育成中获得 5 次 GI 比赛胜利"
"育成でGⅠレースに\n10回勝利しよう","在育成中获得 10 次 GI 比赛胜利"
"育成でGⅠレースに\n20回勝利しよう","在育成中获得 20 次 GI 比赛胜利"
"育成でGⅠレースに\n30回勝利しよう","在育成中获得 30 次 GI 比赛胜利"
"育成でGⅠレースに\n40回勝利しよう","在育成中获得 40 次 GI 比赛胜利"
"育成でGⅠレースに\n50回勝利しよう","在育成中获得 50 次 GI 比赛胜利"
"育成でGⅠレースに\n60回勝利しよう","在育成中获得 60 次 GI 比赛胜利"
"育成でGⅠレースに\n70回勝利しよう","在育成中获得 70 次 GI 比赛胜利"
"育成でGⅠレースに\n80回勝利しよう","在育成中获得 80 次 GI 比赛胜利"
"育成でGⅠレースに\n90回勝利しよう","在育成中获得 90 次 GI 比赛胜利"
"育成でGⅠレースに\n100回勝利しよう","在育成中获得 100 次 GI 比赛胜利"
"育成でGⅡレースに\n1回勝利しよう","在育成中获得 1 次 GII 比赛胜利"
"育成でGⅡレースに\n5回勝利しよう","在育成中获得 5 次 GII 比赛胜利"
"育成でGⅡレースに\n10回勝利しよう","在育成中获得 10 次 GII 比赛胜利"
"育成でGⅡレースに\n20回勝利しよう","在育成中获得 20 次 GII 比赛胜利"
"育成でGⅡレースに\n30回勝利しよう","在育成中获得 30 次 GII 比赛胜利"
