"text", "translation"
"スペシャルウィーク","特别周"
"サイレンススズカ","无声铃鹿"
"トウカイテイオー","帝王"
"マルゼンスキー","丸善斯基"
"フジキセキ","富士奇石"
"オグリキャップ","小栗帽"
"ゴールドシップ","黄金船"
"ウオッカ","伏特加"
"ダイワスカーレット","大和赤骥"
"タイキシャトル","大树快车"
"グラスワンダー","草上飞"
"ヒシアマゾン","菱亚马逊"
"メジロマックイーン","目白麦昆"
"エルコンドルパサー","神鹰"
"テイエムオペラオー","好歌剧"
"ナリタブライアン","成田白仁"
"シンボリルドルフ","皇帝"
"エアグルーヴ","气槽"
"アグネスデジタル","爱丽数码"
"セイウンスカイ","星云天空"
"タマモクロス","玉藻十字 "
"ファインモーション","美妙姿势"
"ビワハヤヒデ","琵琶晨光"
"マヤノトップガン","重炮"
"マンハッタンカフェ","曼城茶座"
"ミホノブルボン","美浦波旁"
"メジロライアン","目白赖恩"
"ヒシアケボノ","菱曙"
"ユキノビジン","雪之美人"
"ライスシャワー","米浴"
"アイネスフウジン","艾尼斯风神"
"アグネスタキオン","爱丽速子"
"アドマイヤベガ","爱慕织姬"
"イナリワン","稻荷一"
"ウイニングチケット","胜利奖券"
"エアシャカール","空中神宮"
"エイシンフラッシュ","荣进闪耀"
"カレンチャン","真机伶"
"カワカミプリンセス","川上公主"
"ゴールドシチー","黄金城市"
"サクラバクシンオー","樱花进王"
"シーキングザパール","采珠"
"シンコウウインディ","新光风"
"スイープトウショウ","东商变革"
"スーパークリーク","超级小海湾"
"スマートファルコン","醒目飞鹰"
"ゼンノロブロイ","荒漠英雄"
"トーセンジョーダン","东瀛佐敦"
"ナカヤマフェスタ","中山庆典"
"ナリタタイシン","成田大进"
"ニシノフラワー","西野花"
"ハルウララ","春乌拉拉"
"バンブーメモリー","青竹回忆"
"ビコーペガサス","微光飞驹"
"マーベラスサンデー","美丽周日"
"マチカネフクキタル","待兼福来"
"ミスターシービー","千明代表"
"メイショウドトウ","名将怒涛"
"メジロドーベル","目白多伯"
"ナイスネイチャ","优秀素质"
"キングヘイロー","圣王光环"
"マチカネタンホイザ","诗歌剧"
"イクノディクタス","狄杜斯"
"メジロパーマー","目白善信"
"ダイタクヘリオス","大拓太阳神"
"ツインターボ","双涡轮"

"ハッピーミーク","Happy Meek"

"駿川たづな","骏川手纲"
"秋川理事長","秋川弥生"
"乙名史記者","乙名史悦子"
"桐生院トレーナー","桐生院葵"
"安心沢刺々美","安心泽刺刺美"
