"text", "translation"
"note", "This list is taken from category id 28, 29, 32, 33, 36"
"note", "Duplicates removed (see scripts/merge-csv.sh), and sorted with unix sort(1)"
"BSN賞",""
"CBC賞",""
"JBCクラシック",""
"JBCスプリント",""
"JBCレディスクラシック",""
"NHKマイルC",""
"NHKマイルカップ",""
"NST賞",""
"UHB賞",""
"URAファイナルズ 予選",""
"URAファイナルズ 決勝",""
"URAファイナルズ 準決勝",""
"URAファイナルズ予選",""
"URAファイナルズ決勝",""
"URAファイナルズ決勝（ダート）",""
"URAファイナルズ決勝（マイル）",""
"URAファイナルズ決勝（中距離）",""
"URAファイナルズ決勝（短距離）",""
"URAファイナルズ決勝（長距離）",""
"URAファイナルズ準決勝",""
"ききょうS",""
"ききょうステークス",""
"きさらぎ賞",""
"きんもくせい特別",""
"こうやまき賞",""
"さざんか賞",""
"すずらん賞",""
"すばるS",""
"すばるステークス",""
"すみれS",""
"すみれステークス",""
"つわぶき賞",""
"ながつきS",""
"ながつきステークス",""
"なでしこ賞",""
"ひいらぎ賞",""
"ひまわり賞",""
"みやこS",""
"みやこステークス",""
"もちの木賞",""
"もみじS",""
"もみじステークス",""
"りんどう賞",""
"アイビスSD",""
"アイビスサマーダッシュ",""
"アイビーS",""
"アイビーステークス",""
"アスター賞",""
"アネモネS",""
"アネモネステークス",""
"アハルテケS",""
"アハルテケステークス",""
"アメリカJCC",""
"アメリカジョッキークラブカップ",""
"アルゼンチン共和国杯",""
"アルテミスS",""
"アルテミスステークス",""
"アルデバランS",""
"アルデバランステークス",""
"アンタレスS",""
"アンタレスステークス",""
"アンドロメダS",""
"アンドロメダステークス",""
"アーリントンC",""
"アーリントンカップ",""
"エニフS",""
"エニフステークス",""
"エプソムC",""
"エプソムカップ",""
"エリカ賞",""
"エリザベス女王杯",""
"エルフィンS",""
"エルフィンステークス",""
"エルムS",""
"エルムステークス",""
"オアシスS",""
"オアシスステークス",""
"オキザリス賞",""
"オクトーバーS",""
"オクトーバーステークス",""
"オパールS",""
"オパールステークス",""
"オークス",""
"オーシャンS",""
"オーシャンステークス",""
"オータムリーフS",""
"オータムリーフステークス",""
"オールカマー",""
"オーロC",""
"オーロカップ",""
"カシオペアS",""
"カシオペアステークス",""
"カトレア賞",""
"カペラS",""
"カペラステークス",""
"カンナS",""
"カンナステークス",""
"カーバンクルS",""
"カーバンクルステークス",""
"キャピタルS",""
"キャピタルステークス",""
"キーンランドC",""
"キーンランドカップ",""
"ギャラクシーS",""
"ギャラクシーステークス",""
"クイーンC",""
"クイーンS",""
"クイーンカップ",""
"クイーンステークス",""
"クラシック級未勝利",""
"クラシック級未勝利戦",""
"クリスマスローズS",""
"クリスマスローズステークス",""
"クロッカスS",""
"クロッカスステークス",""
"クローバー賞",""
"グリーンチャンネルC",""
"グリーンチャンネルカップ",""
"コスモス賞",""
"コーラルS",""
"コーラルステークス",""
"サウジアラビアRC",""
"サウジアラビアロイヤルカップ",""
"サフラン賞",""
"シリウスS",""
"シリウスステークス",""
"シルクロードS",""
"シルクロードステークス",""
"シンザン記念",""
"ジャニュアリーS",""
"ジャニュアリーステークス",""
"ジャパンC",""
"ジャパンC（HARD）",""
"ジャパンカップ HARD",""
"ジャパンカップ",""
"ジャパンダートダービー",""
"ジュニアC",""
"ジュニアカップ",""
"ジュニア級メイクデビュー",""
"ジュニア級新馬",""
"ジュニア級未勝利",""
"ジュニア級未勝利戦",""
"ジュピターカップ EASY",""
"ジュピターカップ HARD",""
"ジュピターカップ NORMAL",""
"ジュピターカップ",""
"スイートピーS",""
"スイートピーステークス",""
"ステイヤーズS",""
"ステイヤーズステークス",""
"スプリングS",""
"スプリングステークス",""
"スプリンターズS",""
"スプリンターズステークス",""
"スレイプニルS",""
"スレイプニルステークス",""
"スワンS",""
"スワンステークス",""
"セントウルS",""
"セントウルステークス",""
"セントライト記念",""
"タンザナイトS",""
"タンザナイトステークス",""
"ターコイズS",""
"ターコイズステークス",""
"ダイヤモンドS",""
"ダイヤモンドステークス",""
"ダリア賞",""
"ダービー卿CT",""
"ダービー卿チャレンジトロフィー",""
"チャレンジC",""
"チャレンジカップ",""
"チャンピオンズC",""
"チャンピオンズカップ",""
"チューリップ賞",""
"チームレース　ダート代表",""
"チームレース　マイル代表",""
"チームレース　中距離代表",""
"チームレース　短距離代表",""
"チームレース　長距離代表",""
"チーム練習",""
"ディセンバーS",""
"ディセンバーステークス",""
"デイリー杯ジュニアS",""
"デイリー杯ジュニアステークス",""
"ニューイヤーS",""
"ニューイヤーステークス",""
"ニュージーランドT",""
"ニュージーランドトロフィー",""
"バレンタインS",""
"バレンタインステークス",""
"バーデンバーデンカップ",""
"パラダイスS",""
"パラダイスステークス",""
"ヒヤシンスS",""
"ヒヤシンスステークス",""
"ファルコンS",""
"ファルコンステークス",""
"ファンタジーS",""
"ファンタジーステークス",""
"フィリーズレビュー",""
"フェアリーS",""
"フェアリーステークス",""
"フェニックス賞",""
"フェブラリーS",""
"フェブラリーステークス",""
"フラワーC",""
"フラワーカップ",""
"フローラS",""
"フローラステークス",""
"ブラジルC",""
"ブラジルカップ",""
"ブリリアントS",""
"ブリリアントステークス",""
"プラタナス賞",""
"プリンシパルS",""
"プリンシパルステークス",""
"プロキオンS",""
"プロキオンステークス",""
"ベゴニア賞",""
"ベテルギウスS",""
"ベテルギウスステークス",""
"ホープフルS",""
"ホープフルステークス",""
"ポラリスS",""
"ポラリスステークス",""
"ポルックスS",""
"ポルックスステークス",""
"ポートアイランドS",""
"ポートアイランドステークス",""
"マイラーズC",""
"マイラーズカップ",""
"マイルCS",""
"マイルチャンピオンシップ",""
"マリーンS",""
"マリーンステークス",""
"マーガレットS",""
"マーガレットステークス",""
"マーチS",""
"マーチステークス",""
"マーメイドS",""
"マーメイドステークス",""
"ムーンライト賞 EASY",""
"ムーンライト賞 HARD",""
"ムーンライト賞 NORMAL",""
"ムーンライト賞",""
"メイS",""
"メイクデビュー",""
"メイステークス",""
"メトロポリタンS",""
"メトロポリタンステークス",""
"ユニコーンS",""
"ユニコーンステークス",""
"ラジオNIKKEI賞",""
"ラジオ日本賞",""
"ラピスラズリS",""
"ラピスラズリステークス",""
"リゲルS",""
"リゲルステークス",""
"ルミエールオータムD",""
"ルミエールオータムダッシュ",""
"レジェンドレース",""
"レジェンドレース　VSエルコンドルパサー",""
"レジェンドレース　VSサイレンススズカ",""
"レジェンドレース　VSシンボリルドルフ",""
"レジェンドレース　VSスペシャルウィーク",""
"レパードS",""
"レパードステークス",""
"レース",""
"ローズS",""
"ローズステークス",""
"ヴィクトリアマイル",""
"七夕賞",""
"万両賞",""
"万葉S",""
"万葉ステークス",""
"三宮S",""
"三宮ステークス",""
"中京ジュニアS",""
"中京ジュニアステークス",""
"中京記念",""
"中山ウマ娘S",""
"中山ウマ娘ステークス",""
"中山記念",""
"中山金杯",""
"中日新聞杯",""
"丹頂S",""
"丹頂ステークス",""
"京成杯",""
"京成杯AH",""
"京成杯オータムハンデ",""
"京成杯オータムハンデキャップ",""
"京王杯ジュニアS",""
"京王杯ジュニアステークス",""
"京王杯スプリングC",""
"京王杯スプリングカップ",""
"京葉S",""
"京葉ステークス",""
"京都ウマ娘S",""
"京都ウマ娘ステークス",""
"京都ジュニアS",""
"京都ジュニアステークス",""
"京都大賞典",""
"京都新聞杯",""
"京都記念",""
"京都金杯",""
"京阪杯",""
"仁川S",""
"仁川ステークス",""
"伏竜S",""
"伏竜ステークス",""
"信越S",""
"信越ステークス",""
"六甲S",""
"六甲ステークス",""
"共同通信杯",""
"函館ジュニアS",""
"函館ジュニアステークス",""
"函館スプリントS",""
"函館スプリントステークス",""
"函館記念",""
"北九州短距離S",""
"北九州短距離ステークス",""
"北九州記念",""
"千両賞",""
"千葉S",""
"千葉ステークス",""
"合宿後練習",""
"名鉄杯",""
"吾妻小富士S",""
"吾妻小富士ステークス",""
"夢見月ステークス",""
"大和S",""
"大和ステークス",""
"大沼S",""
"大沼ステークス",""
"大阪城S",""
"大阪城ステークス",""
"大阪杯",""
"大阪－ハンブルクカップ",""
"天保山S",""
"天保山ステークス",""
"天王山S",""
"天王山ステークス",""
"天皇賞（春）",""
"天皇賞（秋）",""
"太秦S",""
"太秦ステークス",""
"安土城S",""
"安土城ステークス",""
"安田記念",""
"宝塚記念",""
"室町S",""
"室町ステークス",""
"富士S",""
"富士ステークス",""
"寒椿賞",""
"小倉ジュニアS",""
"小倉ジュニアステークス",""
"小倉大賞典",""
"小倉日経OP",""
"小倉日経オープン",""
"小倉記念",""
"巴賞",""
"帝王賞",""
"師走S",""
"師走ステークス",""
"平安S",""
"平安ステークス",""
"府中ウマ娘S",""
"府中ウマ娘ステークス",""
"弥生賞",""
"忘れな草賞",""
"愛知杯",""
"新旧エース対決",""
"新潟ジュニアS",""
"新潟ジュニアステークス",""
"新潟大賞典",""
"新潟記念",""
"日本ダービー",""
"日経新春杯",""
"日経賞",""
"昇竜S",""
"昇竜ステークス",""
"春雷S",""
"春雷ステークス",""
"有馬記念",""
"朝日杯FS",""
"朝日杯フューチュリティステークス",""
"未勝利戦",""
"札幌ジュニアS",""
"札幌ジュニアステークス",""
"札幌日経OP",""
"札幌日経オープン",""
"札幌記念",""
"朱鷺S",""
"朱鷺ステークス",""
"東スポ杯ジュニアS",""
"東京スポーツ杯ジュニアステークス",""
"東京優駿（日本ダービー）",""
"東京大賞典",""
"東京新聞杯",""
"東海S",""
"東海ステークス",""
"東風S",""
"東風ステークス",""
"栗東S",""
"栗東ステークス",""
"根岸S",""
"根岸ステークス",""
"桜花賞",""
"橘S",""
"橘ステークス",""
"欅S",""
"欅ステークス",""
"武蔵野S",""
"武蔵野ステークス",""
"毎日杯",""
"毎日王冠",""
"洛陽S",""
"洛陽ステークス",""
"淀短距離S",""
"淀短距離ステークス",""
"白富士S",""
"白富士ステークス",""
"白百合S",""
"白百合ステークス",""
"白菊賞",""
"百日草特別",""
"皐月賞",""
"目黒記念",""
"神戸新聞杯",""
"福島ウマ娘S",""
"福島ウマ娘ステークス",""
"福島ジュニアS",""
"福島ジュニアステークス",""
"福島テレビOP",""
"福島テレビオープン",""
"福島民友C",""
"福島民友カップ",""
"福島民報杯",""
"福島記念",""
"秋明菊賞",""
"秋華賞",""
"端午S",""
"端午ステークス",""
"米子S",""
"米子ステークス",""
"紅梅S",""
"紅梅ステークス",""
"紫苑S",""
"紫苑ステークス",""
"紫菊賞",""
"総武S",""
"総武ステークス",""
"練習試合",""
"芙蓉S",""
"芙蓉ステークス",""
"若葉S",""
"若葉ステークス",""
"若駒S",""
"若駒ステークス",""
"菊花賞",""
"萩S",""
"萩ステークス",""
"葉牡丹賞",""
"葵S",""
"葵ステークス",""
"谷川岳S",""
"谷川岳ステークス",""
"赤松賞",""
"都大路S",""
"都大路ステークス",""
"野路菊S",""
"野路菊ステークス",""
"金鯱賞",""
"関屋記念",""
"関越S",""
"関越ステークス",""
"阪急杯",""
"阪神C",""
"阪神JF",""
"阪神ウマ娘S",""
"阪神ウマ娘ステークス",""
"阪神カップ",""
"阪神ジュベナイルフィリーズ",""
"阪神大賞典",""
"阿蘇S",""
"阿蘇ステークス",""
"霜月S",""
"霜月ステークス",""
"青竜S",""
"青竜ステークス",""
"青葉賞",""
"鞍馬S",""
"鞍馬ステークス",""
"韋駄天S",""
"韋駄天ステークス",""
"高松宮記念",""
"鳳雛S",""
"鳳雛ステークス",""
"鳴尾記念",""
"黄菊賞",""
"黒松賞",""
