"text", "translation"
"レース中間からロングスパートをかけて\n速度がわずかに上がる","從比賽中段進行長距離衝刺，速度略微加快(賽程≥50，賽程≤60，名次＜50%)"
"残り200mを切って前の方にいると\n競り合いに強くなり速度が少し上がる","在最後200米處於前列進行名次爭奪時，競爭力就會變強，速度也會少量加快(名次≥3，名次在前50%，前後方1馬身距離內有馬，剩餘距離≤200)"
"レース後半で1番を\nキープし続ける力をわずかに発揮する","在比賽後半段略微發揮持續保持第一的能力(賽程≥50，名次=1，距離後方馬馬身≤1)"
"最終直線で後ろの方から追い抜くと\n末脚を使って速度が少し上がる","在最終直線上從後方趕超時，會使用末腳少量加快速度(最終直線，超過至少一人，名次≥4)"
"最終直線で余力を持って前にいると\nわずかに優位を保ちやすくなる","在最終直線上仍保有餘力且處於前列時，略微容易保持優勢(最終直線，體力剩餘≥30%，名次≤2)"
"最終コーナーで後ろから追い抜くと\n女帝たる走りで速度が少し上がる","在最終彎道從後方趕超時，猶如女帝般的奔跑會使速度少量加快(最終彎道，名次≥4，超過至少一人)"
"最終コーナーで前の方で競り合うと\n直線でわずかに抜け出しやすくなる","在最終彎道處於前列進行名次爭奪之後，在直線上略微容易突圍(最終彎道，與身邊馬娘競爭時間≥2，名次≤3)"
"レース終盤のコーナーで前の位置に\nつこうとして加速力が少し上がる","在比賽終盤的彎道中想要衝向前列時，少量提升加速度(最終彎道前，名次在65%-70%之間)"
"レース後半のコーナーで控えていると\n持久力が少し回復する","在比賽後半且靠近彎道時，持久力少量恢復(賽程後半彎道，名次≥3，名次≤40%)"
"最終直線で競り合いに負けない\n気持ちが湧き、速度が少し上がる","在最終直線上進行名次爭奪時湧現出不服輸的強烈求勝心，速度少量加快(最終直線，名次≤5，與身邊馬娘競爭時間≥2S)"
"レース後半に前の方で競り合うとバク\nシン力（？）を発揮、速度が少し上がる","比賽後半段處於前列進行名次爭奪時，發揮爆進之力，速度少量加快(賽程≥50，名次≤3，與身邊馬娘競爭時間≥2S)"
"レース中盤で好位置にいる時に\n持久力が少し回復する","在比賽中盤處於好位置時，持久力少量回復(中盤，名次≥2，名次≤40%)"
"最終コーナーで後ろの方にいると近くの\nウマ娘を見て持久力を少し回復する","在最終彎道處於靠後位置時，會看著附近的賽馬娘並少量恢復持久力(最終彎道，名次>50%，附近馬娘數量≥1)"
"レース終盤に前方が詰まると\nお告げの力で少し道を切り開く","在比賽終盤前方受阻時，能夠借助預言之力指明道路(終盤，名次≥3，前方有馬娘阻擋)"
"レース終盤で3番手の時に負けそうに\nなると闘志に火が付き速度が少し上がる","在比賽終盤處於第三名快要輸掉的時候激發昂揚鬥志，速度少量加快(終盤，名次=3，距離後方馬馬身≤1)"
"レースを冷静に運ぶことができると\n残り200mで実力発揮、速度が上がる","能夠冷靜地進行比賽的規劃時，就能夠在最後200米發揮實力，速度加快(debuff數量=0，剩餘距離≤201，剩餘距離≥199，名次≥5，名次≤60%)"
"レース終盤に前の方で相手を抜くと\n勢いに乗って速度が上がる","在比賽終盤處於前列並超過對手時，就會乘勢加快速度(終盤，名次≥2，名次≤50%，超過至少一人)"
"最終直線で差を付けて先頭にいると\nさらなる脚を使って、速度を上げる","在最終直線上位於第一並拉開差距時，就可以使用更快的腳步來加快速度(最終直線，名次=1，距離後方馬馬身≥1)"
"最終直線で前と差が詰まると\n華麗な脚取りで速度がすごく上がる","在最終直線上與前方的差距縮小時，就會以華麗的步伐大幅加速(最終直線，名次≤3，距離前方馬馬身≤1，拉進自身與前馬距離時)"
"最終コーナー以降で前の方にいると\nギアを変えて加速力が上がる","最終彎道後處於前列時，就會換擋提升加速度(最終彎道=1，名次≤5，名次≤50%)"
"残り200m地点で前の方にいると\n道を開いてすごく抜け出しやすくなる","在最後200米處於前列時，能夠開闢道路，很容易突圍(名次≥2，名次≤5，名次≤50%，剩餘距離≤201，剩餘距離≥199)"
"レース中間からロングスパートをかけて\n速度が少しずつ上がる","從比賽中段進行長距離衝刺，速度會一點點加快(賽程≥50，賽程≤60，名次>50%)"
"残り200mを切って前の方にいると\n競り合いに強くなり速度が上がる","在最後200米處於前列進行名次爭奪時，競爭力變強，速度也會加快(名次≥3，名次在前50%，前後方1馬身距離內有馬，剩餘距離≤200)"
"レース後半で\n1番をキープし続ける力を発揮する","在比賽後半段發揮持續保持第一的能力(賽程≥50，名次=1，距離後方馬馬身≤1)"
"最終コーナーで好位置にいると\n弾みを付けて加速力が上がる","在最終彎道處於好位置時會增加動力，提升加速度(最終彎道，名次≥3，名次≤50%)"
"最終直線で後ろの方から追い抜くと\n末脚を使って速度が上がる","在最終直線上從後方趕超時，會使用末腳加快速度(最終直線，超過至少一人，名次≥4)"
"最終直線で後ろの方から外を回って\n追い抜く時、速度を上げる","在最終直線上從後方繞到外道趕超時，速度加快(名次≥40%，在外道，超過至少1人)"
"最終コーナーで前の方にいると\n抜かさせない覚悟を決めて速度が上がる","在最終彎道中處於前列時，就會做好絕對不被超過的覺悟，使速度加快(最終彎道，自身處於隊伍位置≤30%)"
"最終直線で余力を持って前にいると\nより優位を保ちやすくなる","在最終直線上仍保有餘力且處於前列時，更容易保持優勢(最終直線，體力剩餘≥30%，名次≤2)"
"最終コーナーで前の方で競り合うと\n王たる輝きで速度が上がる","在最終彎道處於前列進行名次爭奪時，王者般的光輝會使速度加快(最終彎道，距離前方馬馬身≤1，距離後方馬馬身≤1，與身邊馬娘競爭時間≥2，名次≤4)"
"最終コーナー以降で外から追い抜くと\n怪物的な力で、速度を上げる","在最終彎道之後完成趕超時，以怪物般的力量加快速度。(最終彎道，名次≥2且名次在75%以內，在外道，超過至少一人)"
"レース終盤に3回追い抜くと\n最終直線で速度がすごく上がる","在比賽終盤趕超3次後，最終直線上會大幅加速(最終彎道，超過至少3人，直線發動)"
"最終コーナーで後ろから追い抜くと\n女帝たる走りで速度が上がる","在最終彎道從後方趕超時，猶如女帝般的奔跑會使速度加快(最終彎道，名次≥4，超過至少一人)"
"レース終盤のコーナーで先頭にいると\nこれ幸いと加速力を上げる","在比賽終盤的彎道上處於第一位時，想著這可真是萬幸並提升加速度(終盤，彎道，名次=1)"
"最終コーナーで前の方で追い抜くと\n勝利の方程式を導き、速度を上げる","在最終彎道從前方趕超時，會引導出勝利的方程式，使速度加快(最終彎道，名次≤4，超過至少一人)"
"最終コーナーで前の方で競り合うと\n直線で抜け出しやすくなる","在最終彎道處於前列進行名次爭奪之後，在直線上更容易突圍(最終彎道，與身邊馬娘競爭時間≥2，名次≤3)"
"最終直線までみずから崩れることなく\n前の方にいると速度が上がる","直到最終直線為止，自身沒有出錯且位於前列時，使速度加快(出欄不失誤，debuff數量=0，名次≤3，最終直線)"
"レース終盤のコーナーで前の位置に\nつこうとして加速力が上がる","在比賽終盤的彎道中想要衝向前列時，提升加速度(最終彎道前，名次在65%-70%之間)"
"最終直線で抜け出した時に\n強い意志を持って速度が上がる","在最終直線上突圍時，以強大的意志使速度加快(最終直線，名次≤4，超過至少一人)"
"レース後半のコーナーで控えていると\n持久力が回復する","在比賽後半且靠近彎道時，持久力恢復(賽程後半彎道，名次≥3，名次≤40%)"
"最終直線で競り合いに負けない\n強い気持ちが湧き、速度が上がる","在最終直線上進行名次爭奪時湧現出不服輸的強烈求勝心，速度加快(最終直線，名次≤5，與身邊馬娘競爭時間≥2S)"
"レース中間付近で好位置にいる時に\n追い抜くと勢いづき進出を開始する","在比賽中段左右並處於好位置完成趕超時，趁勢開始追趕(賽程大於等於50%且小於65%，名次位於3名或3名之後且名次在40%以內，超車時)"
"レース後半に前の方で競り合うと\nバクシン力（？）を発揮、速度が上がる","比賽後半段處於前列進行名次爭奪時，發揮爆進之力，速度加快(賽程≥50，名次≤3，與身邊馬娘競爭時間≥2)"
"レース中盤で好位置にいる時に\n持久力が回復する","在比賽中盤處於好位置時，持久力回復(中盤，名次≥2，名次≤40%)"
"レース中盤の直線で先頭を奪われそうに\nなると譲らない想いが力になる","在比賽中盤的直線上將要失去領跑位置時，絕不讓步的想法將會化作動力。(中盤直線，名次=1，距離後方馬馬身≤1)"
"最終コーナーで集団の後方の位置から\n前へ出る時、切れ味が増し速度が上がる","在最終彎道處於集團後方向前突進時，能夠磨練技巧，加快速度(最終彎道, 最終彎道、75%≤名次≤50%、拉進自身與前馬距離時, 75%≤名次≤50%, 拉進自身與前馬距離時)"
"最終コーナーで後ろの方にいると近くの\nウマ娘を見て持久力を回復する","在最終彎道處於靠後位置時，會看著附近的賽馬娘並恢復持久力(最終彎道，名次>50%，附近馬娘數量≥1)"
"レース終盤に前方が詰まると\nお告げの力で道を切り開く","在比賽終盤前方受阻時，能夠借助預言之力開闢道路(終盤，名次≥3，前方有馬娘阻擋)"
