"text", "translation"
"波乱注意砲！",""
"アクセルX",""
"レッドエース",""
"精神一到",""
"熱血☆アミーゴ",""
"エンプレス・プライド",""
"勝利のキッス☆",""
"燃えろ筋肉！",""
"introduction：My body",""
"全力Vサインッ！",""
"学級委員長+速さ＝バクシン",""
"クリアハート",""
"ワクワクよーいドン",""
"来てください来てください！",""
"アタシもたまには、ね？",""
"Call me KING",""
"シューティングスター",""
"先頭の景色は譲らない…！",""
"究極テイオーステップ",""
"紅焔ギア/LP1211-M",""
"勝利の鼓動",""
"不沈艦、抜錨ォッ！",""
"カッティング×DRIVE！",""
"ブリリアント・レッドエース",""
"ヴィクトリーショット！",""
"精神一到何事か成らざらん",""
"貴顕の使命を果たすべく",""
"プランチャ☆ガナドール",""
"ヴィットーリアに捧ぐ舞踏",""
"汝、皇帝の神威を見よ",""
"ブレイズ・オブ・プライド",""
"∴win Q.E.D.","∴win Q.E.D."
"ひらめき☆ランディング",""
"G00 1st.F∞;",""
"レッツ・アナボリック！",""
"ブルーローズチェイサー",""
"U=ma2",""
"勝利のチケットを、君にッ！",""
"#LookatCurren","#LookatCurren"
"優等生×バクシン＝大勝利ッ",""
"ピュリティオブハート",""
"ワクワククライマックス",""
"来ます来てます来させます！",""
"きっとその先へ…！",""
"Pride of KING",""
"絶対は、ボクだ",""
"最強の名を懸けて",""
"右回り◎",""
"右回り○",""
"右回り×",""
"左回り◎",""
"左回り○",""
"左回り×",""
"東京レース場◎",""
"東京レース場○",""
"東京レース場×",""
"中山レース場◎",""
"中山レース場○",""
"中山レース場×",""
"阪神レース場◎",""
"阪神レース場○",""
"阪神レース場×",""
"京都レース場◎",""
"京都レース場○",""
"京都レース場×",""
"中京レース場◎",""
"中京レース場○",""
"中京レース場×",""
"札幌レース場◎",""
"札幌レース場○",""
"札幌レース場×",""
"函館レース場◎",""
"函館レース場○",""
"函館レース場×",""
"福島レース場◎",""
"福島レース場○",""
"福島レース場×",""
"新潟レース場◎",""
"新潟レース場○",""
"新潟レース場×",""
"小倉レース場◎",""
"小倉レース場○",""
"小倉レース場×",""
"根幹距離◎",""
"根幹距離○",""
"根幹距離×",""
"非根幹距離◎",""
"非根幹距離○",""
"非根幹距離×",""
"良バ場◎",""
"良バ場○",""
"良バ場×",""
"道悪◎",""
"道悪○",""
"道悪×",""
"春ウマ娘◎",""
"春ウマ娘○",""
"春ウマ娘×",""
"夏ウマ娘◎",""
"夏ウマ娘○",""
"夏ウマ娘×",""
"秋ウマ娘◎",""
"秋ウマ娘○",""
"秋ウマ娘×",""
"冬ウマ娘◎",""
"冬ウマ娘○",""
"冬ウマ娘×",""
"晴れの日◎",""
"晴れの日○",""
"曇りの日◎",""
"曇りの日○",""
"雨の日◎",""
"雨の日○",""
"雨の日×",""
"雪の日◎",""
"雪の日○",""
"内枠得意◎",""
"内枠得意○",""
"内枠苦手",""
"外枠得意◎",""
"外枠得意○",""
"外枠苦手",""
"おひとり様◎",""
"おひとり様○",""
"対抗意識◎",""
"対抗意識○",""
"引っ込み思案",""
"徹底マーク◎",""
"徹底マーク○",""
"伏兵◎",""
"伏兵○",""
"GⅠ苦手",""
"小心者",""
"弧線のプロフェッサー",""
"コーナー巧者○",""
"コーナー巧者×",""
"曲線のソムリエ",""
"コーナー加速○",""
"コーナー加速×",""
"円弧のマエストロ",""
"コーナー回復○",""
"コーナー回復×",""
"ハヤテ一文字",""
"直線巧者",""
"一陣の風",""
"直線加速",""
"好転一息",""
"直線回復",""
"坂苦手",""
"バ群嫌い",""
"あきらめ癖",""
"手抜き癖",""
"コンセントレーション",""
"集中力",""
"ゲート難",""
"鋼の意志",""
"隠れ蓑",""
"注目の踊り子",""
"ポジションセンス",""
"アガッてきた！",""
"ペースアップ",""
"不屈の心",""
"ペースキープ",""
"どこ吹く風",""
"ウマ込み冷静",""
"ノンストップガール",""
"垂れウマ回避",""
"レーンの魔術師",""
"臨機応変",""
"全身全霊",""
"末脚",""
"空回り",""
"先手必勝",""
"先駆け",""
"脱出術",""
"急ぎ足",""
"逃亡者",""
"押し切り準備",""
"余裕綽々",""
"スタミナキープ",""
"レースプランナー",""
"好位追走",""
"スピードスター",""
"抜け出し準備",""
"迅速果断",""
"位置取り押し上げ",""
"乗り換え上手",""
"差し切り体勢",""
"昇り龍",""
"外差し準備",""
"眠れる獅子",""
"後方待機",""
"疾風怒濤",""
"仕掛け抜群",""
"迫る影",""
"直線一気",""
"スプリントターボ",""
"スプリントギア",""
"様子見",""
"電撃の煌めき",""
"詰め寄り",""
"マイルの支配者",""
"積極策",""
"慧眼",""
"展開窺い",""
"豪脚",""
"上昇気流",""
"切り開く者",""
"前途洋々",""
"キラーチューン",""
"テンポアップ",""
"勝利への執念",""
"食い下がり",""
"クールダウン",""
"深呼吸",""
"内的体験",""
"内弁慶",""
"火事場のバ鹿力",""
"別腹タンク",""
"トリック（前）",""
"トリック（後）",""
"逃げ駆け引き",""
"先行駆け引き",""
"差し駆け引き",""
"追込駆け引き",""
"逃げけん制",""
"逃げ焦り",""
"逃げためらい",""
"先行けん制",""
"先行焦り",""
"先行ためらい",""
"差しけん制",""
"差し焦り",""
"差しためらい",""
"追込けん制",""
"追込焦り",""
"追込ためらい",""
"大井レース場◎",""
"大井レース場○",""
"大井レース場×",""
"短距離直線◎",""
"短距離直線○",""
"短距離コーナー◎",""
"短距離コーナー○",""
"圧倒的リード",""
"大きなリード",""
"プランX",""
"善後策",""
"準備万全！",""
"仕掛け準備",""
"悩殺術",""
"後方釘付",""
"逃亡禁止令",""
"抜け駆け禁止",""
"マイル直線◎",""
"マイル直線○",""
"マイルコーナー◎",""
"マイルコーナー○",""
"ギアチェンジ",""
"ギアシフト",""
"アクセル全開！",""
"アクセラレーション",""
"姉御肌",""
"負けん気",""
"スピードグリード",""
"スピードイーター",""
"布陣",""
"布石",""
"中距離直線◎",""
"中距離直線○",""
"中距離コーナー◎",""
"中距離コーナー○",""
"千里眼",""
"ホークアイ",""
"ライトニングステップ",""
"イナズマステップ",""
"神業ステップ",""
"軽やかステップ",""
"独占力",""
"束縛",""
"魅惑のささやき",""
"ささやき",""
"長距離直線◎",""
"長距離直線○",""
"長距離コーナー◎",""
"長距離コーナー○",""
"先陣の心得",""
"リードキープ",""
"パス上手",""
"怒涛の追い上げ",""
"追い上げ",""
"スタミナグリード",""
"スタミナイーター",""
"奇術師",""
"目くらまし",""
"逃げ直線◎",""
"逃げ直線○",""
"逃げコーナー◎",""
"逃げコーナー○",""
"危険回避",""
"先頭プライド",""
"じゃじゃウマ娘",""
"勢い任せ",""
"再燃焼",""
"二の矢",""
"リスタート",""
"先行直線◎",""
"先行直線○",""
"先行コーナー◎",""
"先行コーナー○",""
"技巧派",""
"巧みなステップ",""
"決意の直滑降",""
"直滑降",""
"食いしん坊",""
"栄養補給",""
"くじけぬ精神",""
"まき直し",""
"幻惑のかく乱",""
"かく乱",""
"差し直線◎",""
"差し直線○",""
"差しコーナー◎",""
"差しコーナー○",""
"努力家",""
"がんばり屋",""
"百万バリキ",""
"十万バリキ",""
"リラックス",""
"小休憩",""
"大局観",""
"読解力",""
"八方にらみ",""
"鋭い眼光",""
"追込直線◎",""
"追込直線○",""
"追込コーナー◎",""
"追込コーナー○",""
"視界良好！異常なし！",""
"お見通し",""
"下校後のスペシャリスト",""
"下校の楽しみ",""
"冷静沈着",""
"冷静",""
"天命士",""
"策士",""
"熱いまなざし",""
"まなざし",""
"逃げのコツ◎",""
"逃げのコツ○",""
"先行のコツ◎",""
"先行のコツ○",""
"差しのコツ◎",""
"差しのコツ○",""
"追込のコツ◎",""
"追込のコツ○",""
"スーパーラッキーセブン",""
"ラッキーセブン",""
"スリーセブン",""
"登山家",""
"ウマ好み",""
"地固め",""
"尻尾上がり",""
"ふり絞り",""
"シンパシー",""
"一匹狼",""
"スリップストリーム",""
"遊びはおしまいっ！",""
